Source,Target
0,54
0,35
0,93
1,59
1,61
1,23
2,91
2,69
2,83
3,91
3,69
3,64
4,25
4,95
4,52
5,57
5,85
5,65
6,58
6,34
6,31
7,37
7,91
7,39
8,62
8,28
8,97
9,24
9,58
9,53
10,57
10,63
10,66
11,25
11,70
11,21
12,75
12,80
12,81
12,21
12,95
12,25
13,22
13,48
13,23
13,59
13,61
13,30
14,53
14,34
14,22
14,92
14,98
15,59
15,61
15,23
15,50
15,30
16,57
16,63
16,29
16,65
16,31
17,57
17,60
17,63
17,29
17,98
18,68
18,93
18,88
18,82
18,96
19,45
19,91
19,93
19,54
20,58
20,34
20,62
20,22
20,46
21,25
21,52
21,95
22,67
22,77
22,46
22,57
22,58
22,94
22,34
22,62
22,28
22,64
22,72
23,84
23,47
23,86
23,57
23,89
23,92
23,48
23,50
23,59
23,61
23,30
24,64
24,94
24,97
24,49
24,34
24,62
24,29
24,98
25,79
25,56
25,75
25,47
25,95
25,52
26,31
26,51
26,52
26,60
26,27
26,63
26,29
26,65
26,66
27,36
27,57
27,58
27,66
27,63
27,29
27,65
27,99
28,46
28,41
28,58
28,49
28,33
28,34
28,62
28,64
28,98
29,57
29,90
29,60
29,31
29,63
29,34
29,65
29,66
30,47
30,92
30,48
30,50
30,59
30,61
30,93
31,40
31,57
31,51
31,60
31,63
31,65
31,66
32,83
32,69
32,71
33,63
33,97
34,98
34,70
34,72
34,46
34,77
34,58
34,49
34,43
34,97
34,62
34,64
34,65
35,88
35,44
36,57
36,84
37,91
37,71
38,57
38,63
38,66
39,91
39,83
40,60
40,63
41,65
41,66
42,64
42,96
42,44
43,46
43,70
44,96
45,96
45,74
45,93
45,88
45,51
46,62
47,92
47,59
47,61
48,92
48,59
48,61
49,53
49,62
49,64
50,53
50,59
50,61
51,57
51,65
51,66
52,79
52,80
52,81
53,78
53,85
53,62
54,68
54,73
54,74
54,93
54,96
55,57
55,65
55,99
56,81
56,80
57,66
57,90
57,60
57,63
57,65
57,99
58,67
58,62
58,77
58,78
58,76
58,87
58,94
58,72
58,64
58,98
58,66
59,73
59,78
59,84
59,92
59,61
59,86
60,79
60,82
60,90
60,66
60,95
60,63
60,65
60,99
61,84
61,86
61,89
61,92
61,97
61,65
62,67
62,87
62,64
62,98
62,66
63,99
63,90
63,65
63,66
64,78
64,76
64,85
64,87
64,97
64,94
64,98
65,82
65,90
65,66
66,82
66,90
66,99
68,73
71,91
74,96
75,81
76,94
77,97
79,95
80,95
83,91
85,94
86,99
89,92
90,94
90,99
93,96
