Source,Target
10,0
14,0
15,0
40,0
42,0
47,0
17,1
19,1
26,1
27,1
28,1
36,1
41,1
54,1
10,2
42,2
44,2
61,2
8,3
14,3
59,3
51,4
9,5
13,5
56,5
57,5
9,6
13,6
17,6
54,6
56,6
57,6
19,7
27,7
30,7
40,7
54,7
20,8
28,8
37,8
45,8
59,8
13,9
17,9
32,9
41,9
57,9
29,10
42,10
47,10
51,11
33,12
17,13
32,13
41,13
54,13
57,13
16,14
24,14
33,14
34,14
37,14
38,14
40,14
43,14
50,14
52,14
18,15
24,15
40,15
45,15
55,15
59,15
20,16
33,16
37,16
38,16
50,16
22,17
25,17
27,17
31,17
57,17
20,18
21,18
24,18
29,18
45,18
51,18
30,19
54,19
28,20
36,20
38,20
44,20
47,20
50,20
29,21
33,21
37,21
45,21
51,21
36,23
45,23
51,23
29,24
45,24
51,24
26,25
27,25
27,26
30,28
47,28
35,29
43,29
45,29
51,29
52,29
42,30
47,30
60,32
34,33
37,33
38,33
40,33
43,33
50,33
37,34
44,34
49,34
37,36
39,36
40,36
59,36
40,37
43,37
45,37
61,37
43,38
44,38
52,38
58,38
57,39
52,40
54,41
57,41
47,42
50,42
46,43
53,43
50,45
51,45
59,45
49,46
57,48
51,50
55,51
61,53
57,54
